index	name	relative_offset	rom_offset	size
140	env.pal	0x1319D4	0x13E6FC	0x200
141	env.img	0x131BD4	0x13E8FC	0x10000
142	palikka0.v	0x141BD4	0x14E8FC	0x9E4
143	palikka0.f	0x1425B8	0x14F2E0	0x5A4
144	tunnel1u.img	0x142B5C	0x14F884	0x10000
145	tunnel1v.img	0x152B5C	0x15F884	0x10000
146	tunnel1texture.img	0x162B5C	0x16F884	0x10004

entry_count=147
data_base=0x00CD28
directory=0x17F888
directory_length=0x967
directory_end=0x1801EF
